,source,target,Znum_x,Xnum_x,Znum_y,Xnum_y,commute,weight
0,IIII,IIIZ,0,0,1,0,True,0.0
1,IIII,IIZI,0,0,2,0,True,0.0
2,IIII,IIZZ,0,0,3,0,True,0.0
3,IIII,IZII,0,0,4,0,True,0.0
4,IIII,IZIZ,0,0,5,0,True,0.0
5,IIII,IZZI,0,0,6,0,True,0.0
6,IIII,ZIII,0,0,8,0,True,0.0
7,IIII,ZIIZ,0,0,9,0,True,0.0
8,IIII,ZIZI,0,0,10,0,True,0.0
9,IIII,ZZII,0,0,12,0,True,0.0
10,IIII,XXYY,0,0,3,15,True,1.5
11,IIII,XYYX,0,0,6,15,True,1.5
12,IIII,YXXY,0,0,9,15,True,1.5
13,IIII,YYXX,0,0,12,15,True,1.5
14,IIIZ,IIZI,1,0,2,0,True,0.0
15,IIIZ,IIZZ,1,0,3,0,True,0.0
16,IIIZ,IZII,1,0,4,0,True,0.0
17,IIIZ,IZIZ,1,0,5,0,True,0.0
18,IIIZ,IZZI,1,0,6,0,True,0.0
19,IIIZ,ZIII,1,0,8,0,True,0.0
20,IIIZ,ZIIZ,1,0,9,0,True,0.0
21,IIIZ,ZIZI,1,0,10,0,True,0.0
22,IIIZ,ZZII,1,0,12,0,True,0.0
23,IIIZ,XXYY,1,0,3,15,False,1.5
24,IIIZ,XYYX,1,0,6,15,False,1.5
25,IIIZ,YXXY,1,0,9,15,False,1.5
26,IIIZ,YYXX,1,0,12,15,False,1.5
27,IIZI,IIZZ,2,0,3,0,True,0.0
28,IIZI,IZII,2,0,4,0,True,0.0
29,IIZI,IZIZ,2,0,5,0,True,0.0
30,IIZI,IZZI,2,0,6,0,True,0.0
31,IIZI,ZIII,2,0,8,0,True,0.0
32,IIZI,ZIIZ,2,0,9,0,True,0.0
33,IIZI,ZIZI,2,0,10,0,True,0.0
34,IIZI,ZZII,2,0,12,0,True,0.0
35,IIZI,XXYY,2,0,3,15,False,1.5
36,IIZI,XYYX,2,0,6,15,False,1.5
37,IIZI,YXXY,2,0,9,15,False,1.5
38,IIZI,YYXX,2,0,12,15,False,1.5
39,IIZZ,IZII,3,0,4,0,True,0.0
40,IIZZ,IZIZ,3,0,5,0,True,0.0
41,IIZZ,IZZI,3,0,6,0,True,0.0
42,IIZZ,ZIII,3,0,8,0,True,0.0
43,IIZZ,ZIIZ,3,0,9,0,True,0.0
44,IIZZ,ZIZI,3,0,10,0,True,0.0
45,IIZZ,ZZII,3,0,12,0,True,0.0
46,IIZZ,XXYY,3,0,3,15,True,1.5
47,IIZZ,XYYX,3,0,6,15,True,1.5
48,IIZZ,YXXY,3,0,9,15,True,1.5
49,IIZZ,YYXX,3,0,12,15,True,1.5
50,IZII,IZIZ,4,0,5,0,True,0.0
51,IZII,IZZI,4,0,6,0,True,0.0
52,IZII,ZIII,4,0,8,0,True,0.0
53,IZII,ZIIZ,4,0,9,0,True,0.0
54,IZII,ZIZI,4,0,10,0,True,0.0
55,IZII,ZZII,4,0,12,0,True,0.0
56,IZII,XXYY,4,0,3,15,False,1.5
57,IZII,XYYX,4,0,6,15,False,1.5
58,IZII,YXXY,4,0,9,15,False,1.5
59,IZII,YYXX,4,0,12,15,False,1.5
60,IZIZ,IZZI,5,0,6,0,True,0.0
61,IZIZ,ZIII,5,0,8,0,True,0.0
62,IZIZ,ZIIZ,5,0,9,0,True,0.0
63,IZIZ,ZIZI,5,0,10,0,True,0.0
64,IZIZ,ZZII,5,0,12,0,True,0.0
65,IZIZ,XXYY,5,0,3,15,True,1.5
66,IZIZ,XYYX,5,0,6,15,True,1.5
67,IZIZ,YXXY,5,0,9,15,True,1.5
68,IZIZ,YYXX,5,0,12,15,True,1.5
69,IZZI,ZIII,6,0,8,0,True,0.0
70,IZZI,ZIIZ,6,0,9,0,True,0.0
71,IZZI,ZIZI,6,0,10,0,True,0.0
72,IZZI,ZZII,6,0,12,0,True,0.0
73,IZZI,XXYY,6,0,3,15,True,1.5
74,IZZI,XYYX,6,0,6,15,True,1.5
75,IZZI,YXXY,6,0,9,15,True,1.5
76,IZZI,YYXX,6,0,12,15,True,1.5
77,ZIII,ZIIZ,8,0,9,0,True,0.0
78,ZIII,ZIZI,8,0,10,0,True,0.0
79,ZIII,ZZII,8,0,12,0,True,0.0
80,ZIII,XXYY,8,0,3,15,False,1.5
81,ZIII,XYYX,8,0,6,15,False,1.5
82,ZIII,YXXY,8,0,9,15,False,1.5
83,ZIII,YYXX,8,0,12,15,False,1.5
84,ZIIZ,ZIZI,9,0,10,0,True,0.0
85,ZIIZ,ZZII,9,0,12,0,True,0.0
86,ZIIZ,XXYY,9,0,3,15,True,1.5
87,ZIIZ,XYYX,9,0,6,15,True,1.5
88,ZIIZ,YXXY,9,0,9,15,True,1.5
89,ZIIZ,YYXX,9,0,12,15,True,1.5
90,ZIZI,ZZII,10,0,12,0,True,0.0
91,ZIZI,XXYY,10,0,3,15,True,1.5
92,ZIZI,XYYX,10,0,6,15,True,1.5
93,ZIZI,YXXY,10,0,9,15,True,1.5
94,ZIZI,YYXX,10,0,12,15,True,1.5
95,ZZII,XXYY,12,0,3,15,True,1.5
96,ZZII,XYYX,12,0,6,15,True,1.5
97,ZZII,YXXY,12,0,9,15,True,1.5
98,ZZII,YYXX,12,0,12,15,True,1.5
99,XXYY,XYYX,3,15,6,15,True,0.5
100,XXYY,YXXY,3,15,9,15,True,0.5
101,XXYY,YYXX,3,15,12,15,True,1.0
102,XYYX,YXXY,6,15,9,15,True,1.0
103,XYYX,YYXX,6,15,12,15,True,0.5
104,YXXY,YYXX,9,15,12,15,True,0.5
